Trial.ID Target.ID Lexicality MorphType Target Prime primeType logfreq.Zipf.t lent lenp logfreq.Zipf.p Nt Np
11085 85 WORD OP gara padrone ctrl 4.46841784 4 7 4.477155084 40 11
11086 86 WORD OP gelo dorato ctrl 3.161734841 4 6 3.418809935 27 17
11087 87 WORD OP grano radioso ctrl 3.856504221 5 7 2.824391686 26 3
11088 88 WORD OP matto plenario ctrl 4.546278953 5 8 1.19092323 31 1
11089 89 WORD OP mimo tisana ctrl 2.954351224 4 6 2.844135744 30 2
11090 90 WORD OP orma timoroso ctrl 2.502677091 4 8 2.502677091 27 5
11091 91 WORD OP oste acquario ctrl 3.016998033 4 8 3.460436174 14 2
11092 92 WORD OP pieta' stellata ctrl 4.32526 5 8 2.480957841 1 4
11093 93 WORD OP pigna festivo ctrl 2.660745246 5 7 2.660745246 12 7
11094 94 WORD OP rete lampante ctrl 4.361331642 4 8 2.911082533 30 2
11095 95 WORD OP retta violino ctrl 4.268291135 5 7 3.670930173 31 3
11096 96 WORD OP sale formale ctrl 4.319806932 4 7 3.603383777 44 7
11097 97 WORD OP stiva europeo ctrl 3.382653623 5 7 3.337051266 12 5
11098 98 WORD OP tatto caldaia ctrl 3.838794995 5 7 3.282590188 34 2
11099 99 WORD OP vento pelvico ctrl 4.536100847 5 7 2.561991092 26 2
11100 100 WORD OP vino embolo ctrl 4.702739771 4 6 2.808971327 42 2
21101 101 WORD OR albero albergo rel 4.603299767 6 7 4.456684147 12 6
21102 102 WORD OR banda bandiera rel 4.400304182 5 8 4.058979592 24 2
21103 103 WORD OR barra barracuda rel 3.469676831 5 9 2.660745246 24 0
21104 104 WORD OR cambio cambusa rel 4.695122149 6 7 2.702806591 5 1
21105 105 WORD OR clava clavicola rel 2.25162107 5 9 3.115202516 11 1
21106 106 WORD OR congruo congrega rel 1.889893234 7 8 3.135405902 2 0
21107 107 WORD OR corda cordoglio rel 4.279944731 5 9 2.734991274 25 0
21108 108 WORD OR corte corteccia rel 4.570591264 5 9 3.337051266 33 0
21109 109 WORD OR guado guadagno rel 2.638081261 5 8 3.962877979 11 3
21110 110 WORD OR lenza lenzuola rel 2.734991274 5 8 3.857441211 16 5
21111 111 WORD OR mandria mandrillo rel 3.306533742 7 9 2.287833243 1 3
21112 112 WORD OR massa massacro rel 4.130941385 5 8 3.818800925 23 2
21113 113 WORD OR merce mercurio rel 4.028511668 5 8 3.507941331 16 0
21114 114 WORD OR museo museruola rel 4.196103743 5 9 2.682284924 3 1
21115 115 WORD OR ordine ordigno rel 4.965367199 6 7 3.309848983 13 1
21116 116 WORD OR passero passerella rel 3.137866501 7 10 3.26464158 8 2
21117 117 WORD OR pelle pellicola rel 4.724313938 5 9 3.666594418 28 1
21118 118 WORD OR raggio raggiro rel 4.275678193 6 7 2.614169104 12 3
21119 119 WORD OR resto restauro rel 5.130891521 5 8 3.122889345 23 3
21120 120 WORD OR salame salamandra rel 3.379851714 6 10 2.502677091 9 1
21121 121 WORD OR scalo scalogno rel 3.080224933 5 8 2.270104476 11 2
21122 122 WORD OR scampo scampolo rel 3.552651066 6 8 1.93128592 9 1
21123 123 WORD OR soffio soffitto rel 3.400438245 6 8 3.829412487 6 5
21124 124 WORD OR squalo squallido rel 3.921301699 6 9 3.389580317 2 4
21125 125 WORD OR trama tramonto rel 3.515205685 5 8 3.980856311 18 3
11126 126 WORD OR avo patria ctrl 2.469676831 3 6 3.981208394 41 5
11127 127 WORD OR bocca sobria ctrl 4.963684877 5 6 3.385437572 18 2
11128 128 WORD OR cavo codardo ctrl 4.195889117 4 7 4.020227003 32 5
11129 129 WORD OR cella relitto ctrl 4.41116211 5 7 3.244001674 31 5
11130 130 WORD OR coro baruffa ctrl 3.945271566 4 7 2.352291232 44 1
11131 131 WORD OR faro omicida ctrl 3.786970238 4 7 3.798914089 45 6
11132 132 WORD OR guano stalla ctrl 2.52336169 5 6 3.662214941 9 12
11133 133 WORD OR lama monello ctrl 4.001155748 4 7 2.990263779 35 5
11134 134 WORD OR lana radice ctrl 3.875319708 4 6 3.539228093 41 7
11135 135 WORD OR luce dinosauro ctrl 5.005037586 4 9 3.444987683 20 2
11136 136 WORD OR lupo frolla ctrl 4.449560513 4 6 2.381254928 18 4
11137 137 WORD OR male riffa ctrl 5.670671245 4 5 2.03602127 44 1
11138 138 WORD OR mano spola ctrl 5.382388218 4 5 2.513142525 45 11
11139 139 WORD OR meta dipinto ctrl 3.743591446 4 7 4.05927373 39 6
11140 140 WORD OR oblio cruento ctrl 3.226352968 5 7 2.502677091 7 3
11141 141 WORD OR palla storico ctrl 4.670354567 5 7 3.708119128 44 2
11142 142 WORD OR piano salotto ctrl 5.375600468 5 7 3.867159447 24 5
11143 143 WORD OR prode prefisso ctrl 2.86761684 5 8 3.112609706 20 3
11144 144 WORD OR riso ghianda ctrl 4.238781957 4 7 2.722402147 34 3
