word	OSC
alms	0.678975566444589
aloe	0.914277549412961
aloft	1
alone	0.986092165210795
along	0.959256216557222
aloof	0.926648760686929
aloud	1
alp	0.0747066171280841
alpha	0.334884422889623
alpine	0.94783436289525
alright	1
also	0.999954207252547
altar	0.963141032939613
alter	0.289001508110629
altered	0.873237048500599
alto	0.243308745019555
alum	0.268031221275957
always	0.999866006829016
am	0.0679675214686666
amass	1
amaze	0.807498884733527
amazed	1
amber	0.0680108293471674
ambience	1
ambient	1
ambit	0.0940200515001196
amble	0.222347735738629
ambush	1
amen	0.0686824277695433
amend	0.78627966931004
amends	1
amir	1
amiss	1
ammo	0.172199152843065
amok	1
amount	0.983825311753421
amour	0.211216079297122
amp	0.0477919248964575
ampere	1
ample	0.0744889578827754
amply	1
ampoule	1
amuse	0.604242661506408
amused	0.983685971008392
anal	0.0729033081346722
anchor	0.962907042393602
ancient	0.99773188066378
and	0.849844258528207
anew	0.975433117543377
angel	0.409481930136253
anger	0.316982643937248
angered	0.0736666962486166
angle	0.685923026884118
angler	0.952007531644186
angling	0.833293464542285
angry	1
angst	0.337319297058376
anguish	0.799057552986349
anise	0.00377317399453047
ankle	0.928504473593105
anklet	1
anna	0.0667287973240195
annals	1
annex	0.90244985774655
annexe	1
announce	0.865198471789252
announced	0.499489078545673
annoy	0.835256139618312
annoyed	1
annual	0.969955001534024
annul	0.527108261591847
anode	1
anoint	0.963880591121145
anon	0.113312295740964
answer	0.984377409389857
answered	0.32701845503956
ant	0.0558014236481227
ante	0.0812700213208506
anthem	0.860964323068917
anther	0.456451175166057
anthill	1
anthrax	1
anti	0.0498706417220984
antique	1
antler	0.96161310543291
ants	0.272330235848373
anus	0.117859359236895
anvil	1
anxious	0.94069852024496
any	0.633594967539479
apace	0.620133868179916
apache	1
apart	0.751721473666436
ape	0.0526669450795408
apes	0.381341261360507
apex	0.978095536812083
aphid	1
apiece	1
aplomb	1
appal	0.29284822111279
appeal	0.984339307985354
appear	0.907477460801637
appeared	1
appease	0.779978674659821
append	0.516484106028006
applaud	1
applause	1
apple	0.600468628985674
apples	0.571031437040167
applied	0.943758073158842
applies	1
apply	0.99683344021303
appoint	0.77579633036699
appraise	0.824821443502887
apprise	1
approach	0.996199671225371
approve	0.96350630512286
approved	0.939888325807572
apron	1
apse	0.119015685176688
apt	0.011036715095807
aptly	1
aptness	1
aqueous	0.984012198860539
arbour	0.152168123761926
arc	0.102080375684046
arcade	0.989808385473674
arcane	0.357490450986875
arch	0.0817830707649617
archduke	1
arched	0.870409186457333
archer	0.169080640774896
arches	0.729270507390551
archives	1
archly	1
archway	1
arctic	0.820418153403777
ardent	0.936740583935239
ardour	1
arduous	1
are	0.707893852350875
area	0.998058263335561
ares	0.0313832642186264
arete	1
argent	0.90236644594651
argon	0.150616436576659
argot	0.810780992332522
argue	0.997036526036858
aria	0.0671025149461483
arid	0.672165508328627
aries	0.0586656601055806
aright	1
arise	0.805965346012111
ark	0.0442118867280523
arm	0.315047496313168
armband	1
armchair	1
armed	0.924330392840999
armful	0.00498094166479005
armhole	1
arming	0.0700186521909354
armless	0.245109393420297
armoire	1
armour	0.803978341038523
armoured	0.995621152877874
armpit	1
arms	0.0915326521760386
army	0.984737126930644
around	0.997567788790659
arouse	0.796134662399136
arrange	0.795951617927613
arranged	1
arrant	0.0251693370544242
arras	0.0805030070095204
array	0.969586767003106
arrears	1
arrest	0.987558914178613
arrive	0.999678331885592
arrived	1
arrow	0.150869082171951
arse	0.159837583332859
arsehole	1
arsenic	0.984509255091998
arson	0.64180883252848
art	0.179125362499119
artful	0.743923678676211
artist	0.912528461217489
artiste	1
artless	0.343344310931983
arts	0.0305592941214322
arty	0.0946419908387512
arum	0.333456935022609
as	0.325791973015229
ascend	0.772457398180116
ascent	0.90741837473398
ascribe	1
ash	0.115384695986869
ashamed	0.837967082312562
ashen	1
ashore	0.892285828328544
ashtray	1
ashy	0.171642762738848
aside	0.902828316339489
ask	0.823364424711454
askance	1
asked	0.585777427388229
