"relatednessrel:morphTypeop:vocabulary","relatednessrel:morphTypetr:vocabulary","car::anova_pValue","nSbj","nDatapoints","converged"
-1.6293773663945,-1.86008696501247,0.00168092283569636,40,7142,1
-3.62734952504933,-2.5965574521051,8.3225467428529e-06,40,7108,1
-2.33159139847133,-3.80965366202675,9.09525775459803e-12,40,7309,1
-1.40723776899467,-3.05400837889047,1.95669646821602e-07,40,7112,1
-3.15261211590086,-6.42915252845019,4.17287159385323e-30,40,7086,1
-1.2587455597722,-2.24419641497228,0.00288712336936975,40,7028,1
-2.22351634248473,-4.44307645352121,1.37969020613887e-12,40,7221,1
-0.989735695994407,-3.98040983250168,1.38841114288256e-10,40,6983,1
0.618868627773762,-3.54502113794867,7.83579870611849e-14,40,6966,1
-1.11247795864336,-3.57759814332545,2.36357797984653e-10,40,7246,1
-1.48274613834885,-4.05872851392002,2.91430927201025e-11,40,7142,1
-3.18035801521568,-4.55950072519028,3.06447860267448e-15,40,7072,1
0.247026389051004,-2.96061492555794,6.70159377149662e-08,40,7049,1
-2.17227795575886,-3.23117177608363,0.627263549588943,40,7270,0
-0.837934788035093,-2.60893820840666,4.354738544635e-05,40,6962,1
-3.4021586590406,-4.85983429337805,5.33906793905348e-19,40,7234,1
-2.26018854816151,-5.38201784669994,0.276119748884191,40,7148,0
2.76076928440179,-1.40766612614607,1.85648241700005e-09,40,7210,1
-0.957708099444914,-0.43574911828068,0.96026734869904,40,7425,0
-2.99875276273621,-3.39986710431706,4.0248084123884e-10,40,7137,1
-0.487427293183382,-1.7284627600085,0.0100126318127564,40,7136,1
-1.53274871424052,-5.19803749014391,0.282212578896558,40,7097,0
-3.42170930873909,-5.24487870814672,1.43840188439209e-18,40,7082,1
-1.11721446766595,-2.43785758307086,5.17867596438e-05,40,7216,1
-1.96891597209244,-1.2838994683505,0.00126396989740163,40,7287,1
-1.7809062498467,-2.64671240311513,1.91800286968113e-05,40,7101,1
-5.21466993391251,-5.76090722564743,0.183469899310203,40,7116,0
-0.421585810524576,-2.61021905371299,1.0133882568728e-05,40,7123,1
-2.56811826154908,-1.71505116666562,0.758191301231858,40,7155,0
-2.7487769687886,-4.01895165675113,6.34664272231254e-12,40,7072,1
-1.72809348345846,-3.92740272606938,5.10938379858423e-09,40,7058,1
0.25338168560166,-3.12013070900983,3.57085929479632e-08,40,7126,1
-2.70953784102895,-1.40331002253956,8.04899415103411e-05,40,7136,1
-2.55963136696517,-3.72339637947861,1.49901325130613e-11,40,7190,1
-2.89026485084761,-3.67915804287612,2.75545936239552e-07,40,7041,1
-1.62888989943323,-3.7197786878628,0.558867300280472,40,7084,0
-0.236087841063143,-2.43951647252351,8.52397860905784e-05,40,7204,1
-1.23299041437071,-2.92471874313904,1.79695835415478e-06,40,7231,1
-4.42594245834127,-3.28590021981773,4.05127140548531e-14,40,7195,1
