"relatednessrel:morphTypeop:phonemicComprehension","relatednessrel:morphTypetr:phonemicComprehension","car::anova_pValue","nSbj","nDatapoints","converged"
-6.75808045870204,-4.12452502028123,1.70789148760507e-11,40,7210,1
-3.29618378130602,-4.58669403986086,6.1923180425817e-05,40,7247,1
-2.85158741600451,-0.86803564743398,0.0163157723986057,40,7108,1
-6.07695617776413,-6.33806615312325,1.08308839867899e-12,40,7104,1
-6.93975224519598,-4.17811198033702,2.53050566399926e-11,40,7189,1
-5.84580943539597,-2.40894775966866,1.10361696378338e-05,40,7153,1
-7.47934627381305,-3.79666086884858,5.6136568849163e-14,40,7239,1
-3.74567577618098,-1.88740556000907,0.000898060379843454,40,7191,1
-6.8216324487136,-0.980948804661538,8.21169901716688e-09,40,7061,1
-5.42817594479395,0.144335705115401,6.00934893545606e-11,40,7249,1
-5.50901536863661,-2.40791818514676,1.18026354751001e-07,40,7246,1
-6.00840050504724,-1.49706277166078,0.219027340703995,40,7193,0
-7.38752552910315,-2.17340902513385,3.10492423000411e-12,40,7124,1
-4.44297056084449,-2.83193883756485,2.36532615900301e-05,40,7167,1
-4.1294387458874,-1.59298828714891,0.000230777668626375,40,7256,1
-7.30070642065364,-5.61244249072948,1.66719140835242e-13,40,7150,1
-5.35921266361238,-1.17629466036345,6.11613979145347e-07,40,7208,1
-6.27980680530742,-2.62962158278564,5.32956537504248e-10,40,7192,1
-3.34441922610103,-3.50160479558852,0.000301269389124367,40,6965,1
-5.95834507348007,-0.2663709033117,5.98098614021356e-10,40,7082,1
-7.78261075618444,-3.17602091493476,6.94281964353356e-17,40,7098,1
-4.57166543084218,-2.9471745985934,4.74682834624206e-06,40,7214,1
-7.3147770222064,-3.90133924128221,1.51464604112554e-13,40,7184,1
-4.19541985150948,-1.75751553096548,0.000100912367300518,40,6999,1
-8.65804528342688,-4.42596778220786,4.76250419993942e-19,40,7140,1
-5.61191527748942,-4.81319984923627,1.16649125016662e-08,40,7365,1
-4.19340450642178,-3.4482659031209,1.33258304759727e-05,40,7119,1
-6.40220591499161,-2.11024065238316,4.40155213651809e-07,40,7135,1
-7.56096982120155,-5.71732177195169,3.35964805667451e-15,40,7109,1
-6.60009767426737,-3.17591059960059,2.17081174271887e-10,40,7166,1
-3.7535999394894,-0.679362480877929,0.000641793410528886,40,7173,1
-7.39661618982666,-3.47129309264997,3.11149249914168e-13,40,7124,1
-4.39242146026703,-1.9632281544356,0.000826044241069647,40,7189,1
-2.70977283237503,-0.881583257998979,0.0316688878940112,40,7173,1
-5.96345024203528,-4.14364010121451,1.64295305350036e-05,40,7308,1
-8.24996238643226,-3.5150018970826,3.64685389322021e-11,40,7275,1
-3.69165685741972,-1.85266693574468,0.000881953144221995,40,7150,1
