"relatednessrel:morphTypeop","relatednessrel:morphTypetr","car::anova_pValue","nSbj","nDatapoints","converged"
-0.553358606299695,-15.6939402637361,3.52634685904163e-05,40,7137,1
-11.7279690628031,-23.7797037613975,0.0236026300167285,40,7210,0
-12.5434311027062,-22.7998396560447,2.82823048633983e-14,40,7247,1
-1.25423438037428,-13.3611019847868,0.216782444043535,40,7108,0
-9.61046147881152,-22.30000195991,7.47247244326477e-14,40,7104,1
2.68178877810059,-15.2518242691119,9.18583177391189e-05,40,7189,1
-3.09161177580753,-19.6783837083012,6.11537936058870e-10,40,7153,1
-4.77376895350601,-14.7691047615495,0.00412887058596866,40,7239,1
-6.16445090137448,-21.5876804431113,6.6553141828998e-07,40,7191,1
-3.67396867337569,-20.6127858073778,1.25644363784701e-07,40,7061,1
-3.75845268652692,-14.3130102942249,0.000272019686579162,40,7249,1
-3.08675265529973,-13.4928151672142,2.16485527128714e-05,40,7246,1
-5.65423226746624,-22.2062710912561,0.0270614782316412,40,7193,0
-14.7553113238911,-20.300782008776,1.46153163842256e-13,40,7124,1
-5.59591805075206,-20.4712144343481,1.62798152941377e-05,40,7167,1
-8.37180144491239,-20.0605316064677,3.94737295617066e-08,40,7256,1
-7.10496576590369,-21.3015108092188,0.0485602978702364,40,7150,0
-5.00294747167125,-19.2400686427345,0.00853094550736126,40,7208,1
-3.00031438020253,-14.4319663460284,0.00106491314865358,40,7192,1
5.67205566409932,-6.43218245953492,0.130911675650399,40,6965,1
-4.13671049535528,-18.2803828494962,2.00870604815606e-05,40,7082,1
-7.48127370872399,-16.8228477852336,8.22324695296519e-06,40,7098,1
-3.80396192934692,-21.2076467240335,1.02098259334676e-09,40,7214,1
-7.07509560836046,-21.8616481459474,2.30729448404204e-08,40,7184,1
-9.57092346731485,-24.197634192796,2.70455625260853e-15,40,6999,1
-3.15244369394654,-14.1981995447177,0.0021060194811835,40,7140,1
-2.50055011234342,-18.8395108834346,6.060719434597e-05,40,7365,1
0.527070448510029,-15.9556454579416,1.9696419745597e-05,40,7119,1
-4.73605179261098,-18.4991101210345,0.000103590420126106,40,7135,1
-11.2946281853836,-13.2398943102714,2.95917786607095e-05,40,7109,1
-4.54507206202573,-12.0665297383394,0.374718884430616,40,7166,0
0.966246980258453,-12.7800118537495,0.00165653562254918,40,7173,1
-13.1563447264891,-23.090509443173,3.23003426595486e-09,40,7124,1
-0.255082395474445,-13.7751205197943,0.000253313179204633,40,7189,1
-7.57355480339333,-15.6548960087792,1.97154732760779e-05,40,7173,1
-1.69444505410919,-15.1266837553668,0.00152604324360894,40,7308,1
-3.0019930348923,-19.7385383034552,4.49282468604038e-08,40,7275,1
